condition,category,n,em,f1,malformed_count,malformed_rate,delta_em_vs_baseline,delta_f1_vs_baseline
base_qwen_standard_fulltest,duration_minutes,3,0.0,0.0,0,0.0,,
base_qwen_standard_fulltest,immediate_before_after,3,0.3333333333333333,0.611111111111111,0,0.0,,
base_qwen_standard_fulltest,overlap_while_during,4,0.5,0.5,0,0.0,,
base_qwen_standard_fulltest,which_first_last,4,0.0,0.03846153846153846,0,0.0,,
base_qwen_standard_fulltest,yes_no_before_after,6,0.8333333333333334,0.8333333333333334,0,0.0,,
base_qwen_standard_smoke_10,duration_minutes,1,0.0,0.0,0,0.0,,
base_qwen_standard_smoke_10,immediate_before_after,2,0.5,0.8333333333333333,0,0.0,,
base_qwen_standard_smoke_10,overlap_while_during,1,1.0,1.0,0,0.0,,
base_qwen_standard_smoke_10,which_first_last,2,0.0,0.07692307692307691,0,0.0,,
base_qwen_standard_smoke_10,yes_no_before_after,4,1.0,1.0,0,0.0,,
base_qwen_standard_smoke_100,duration_minutes,15,0.2,0.2,0,0.0,,
base_qwen_standard_smoke_100,immediate_before_after,15,0.13333333333333333,0.47842342842342844,0,0.0,,
base_qwen_standard_smoke_100,other_temporal,1,0.0,0.0,0,0.0,,
base_qwen_standard_smoke_100,overlap_while_during,7,0.5714285714285714,0.5714285714285714,0,0.0,,
base_qwen_standard_smoke_100,tournament_round_sequence,3,0.6666666666666666,0.7222222222222223,0,0.0,,
base_qwen_standard_smoke_100,which_first_last,15,0.06666666666666667,0.17983312983312985,0,0.0,,
base_qwen_standard_smoke_100,yes_no_before_after,44,0.5909090909090909,0.5909090909090909,0,0.0,,
base_qwen_standard_test224,duration_minutes,29,0.3448275862068966,0.3448275862068966,0,0.0,,
base_qwen_standard_test224,immediate_before_after,39,0.10256410256410256,0.44196651345972615,0,0.0,,
base_qwen_standard_test224,other_temporal,3,0.0,0.4444444444444444,0,0.0,,
base_qwen_standard_test224,overlap_while_during,23,0.6521739130434783,0.6946640316205533,0,0.0,,
base_qwen_standard_test224,tennis_injury_or_medical,1,0.0,0.0,0,0.0,,
base_qwen_standard_test224,tournament_round_sequence,4,0.5,0.5416666666666667,0,0.0,,
base_qwen_standard_test224,which_first_last,47,0.1702127659574468,0.27529688361978727,0,0.0,,
base_qwen_standard_test224,yes_no_before_after,78,0.5897435897435898,0.5897435897435898,0,0.0,,
base_qwen_tiser_fulltest,duration_minutes,3,0.6666666666666666,0.6666666666666666,0,0.0,,
base_qwen_tiser_fulltest,immediate_before_after,3,0.0,0.5235042735042734,0,0.0,,
base_qwen_tiser_fulltest,overlap_while_during,4,0.75,0.75,0,0.0,,
base_qwen_tiser_fulltest,which_first_last,4,0.0,0.0,0,0.0,,
base_qwen_tiser_fulltest,yes_no_before_after,6,0.8333333333333334,0.8333333333333334,0,0.0,,
base_qwen_tiser_smoke_10,duration_minutes,1,1.0,1.0,0,0.0,,
base_qwen_tiser_smoke_10,immediate_before_after,2,0.0,0.7083333333333333,0,0.0,,
base_qwen_tiser_smoke_10,overlap_while_during,1,1.0,1.0,0,0.0,,
base_qwen_tiser_smoke_10,which_first_last,2,0.0,0.0,0,0.0,,
base_qwen_tiser_smoke_10,yes_no_before_after,4,1.0,1.0,0,0.0,,
base_qwen_tiser_smoke_100,duration_minutes,15,0.3333333333333333,0.3333333333333333,0,0.0,,
base_qwen_tiser_smoke_100,immediate_before_after,15,0.06666666666666667,0.1792106586224233,0,0.0,,
base_qwen_tiser_smoke_100,other_temporal,1,0.0,0.0,0,0.0,,
base_qwen_tiser_smoke_100,overlap_while_during,7,0.7142857142857143,0.7142857142857143,0,0.0,,
base_qwen_tiser_smoke_100,tournament_round_sequence,3,0.6666666666666666,0.7222222222222223,0,0.0,,
base_qwen_tiser_smoke_100,which_first_last,15,0.0,0.01904761904761905,0,0.0,,
base_qwen_tiser_smoke_100,yes_no_before_after,44,0.5681818181818182,0.5681818181818182,4,0.09090909090909091,,
base_qwen_tiser_test224,duration_minutes,29,0.41379310344827586,0.41379310344827586,0,0.0,,
base_qwen_tiser_test224,immediate_before_after,39,0.05128205128205128,0.24668616953684827,0,0.0,,
base_qwen_tiser_test224,other_temporal,3,0.0,0.2222222222222222,0,0.0,,
base_qwen_tiser_test224,overlap_while_during,23,0.782608695652174,0.782608695652174,0,0.0,,
base_qwen_tiser_test224,tennis_injury_or_medical,1,0.0,0.0,0,0.0,,
base_qwen_tiser_test224,tournament_round_sequence,4,0.5,0.5416666666666667,0,0.0,,
base_qwen_tiser_test224,which_first_last,47,0.1276595744680851,0.1621580547112462,0,0.0,,
base_qwen_tiser_test224,yes_no_before_after,78,0.5641025641025641,0.5641025641025641,5,0.0641025641025641,,
tennis_only_full600_fulltest,duration_minutes,3,0.3333333333333333,0.3333333333333333,0,0.0,,
tennis_only_full600_fulltest,immediate_before_after,3,0.3333333333333333,0.6296296296296297,0,0.0,,
