condition,status,model_name,prompt_style,no_adapter,adapter_dir,n,em,f1,malformed_count,malformed_rate,delta_em_vs_baseline,delta_f1_vs_baseline,metrics_path
base_qwen_standard_fulltest,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,standard,True,,20,0.4,0.44935897435897443,0,0.0,0.020535714285714324,-0.02230584833000826,C:\Users\aless\OneDrive\Desktop\dnlp\tiser_temporal_reasoning_extension\tiser_temporal_reasoning_extension\results\tennis_domain_adaptation\scored\base_qwen_standard_fulltest\metrics.json
base_qwen_standard_smoke_10,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,standard,True,,10,0.6,0.6820512820512821,0,0.0,0.22053571428571428,0.21038645936229938,C:\Users\aless\OneDrive\Desktop\dnlp\tiser_temporal_reasoning_extension\tiser_temporal_reasoning_extension\results\tennis_domain_adaptation\scored\base_qwen_standard_smoke_10\metrics.json
base_qwen_standard_smoke_100,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,standard,True,,100,0.38,0.4504051504051504,0,0.0,0.000535714285714306,-0.021259672283832298,C:\Users\aless\OneDrive\Desktop\dnlp\tiser_temporal_reasoning_extension\tiser_temporal_reasoning_extension\results\tennis_domain_adaptation\scored\base_qwen_standard_smoke_100\metrics.json
base_qwen_standard_test224,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,standard,True,,224,0.3794642857142857,0.4716648226889827,0,0.0,0.0,0.0,C:\Users\aless\OneDrive\Desktop\dnlp\tiser_temporal_reasoning_extension\tiser_temporal_reasoning_extension\results\tennis_domain_adaptation\scored\base_qwen_standard_test224\metrics.json
base_qwen_tiser_fulltest,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,tiser,True,,20,0.5,0.5785256410256411,0,0.0,0.1205357142857143,0.10686081833665839,C:\Users\aless\OneDrive\Desktop\dnlp\tiser_temporal_reasoning_extension\tiser_temporal_reasoning_extension\results\tennis_domain_adaptation\scored\base_qwen_tiser_fulltest\metrics.json
base_qwen_tiser_smoke_10,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,tiser,True,,10,0.6,0.7416666666666667,0,0.0,0.22053571428571428,0.270001843977684,C:\Users\aless\OneDrive\Desktop\dnlp\tiser_temporal_reasoning_extension\tiser_temporal_reasoning_extension\results\tennis_domain_adaptation\scored\base_qwen_tiser_smoke_10\metrics.json
base_qwen_tiser_smoke_100,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,tiser,True,,100,0.38,0.40140540831717303,4,0.04,0.000535714285714306,-0.07025941437180966,C:\Users\aless\OneDrive\Desktop\dnlp\tiser_temporal_reasoning_extension\tiser_temporal_reasoning_extension\results\tennis_domain_adaptation\scored\base_qwen_tiser_smoke_100\metrics.json
base_qwen_tiser_test224,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,tiser,True,,224,0.375,0.4199800112352635,5,0.022321428571428572,-0.004464285714285698,-0.05168481145371917,C:\Users\aless\OneDrive\Desktop\dnlp\tiser_temporal_reasoning_extension\tiser_temporal_reasoning_extension\results\tennis_domain_adaptation\scored\base_qwen_tiser_test224\metrics.json
tennis_only_full600_fulltest,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,tiser,False,C:\Users\aless\OneDrive\Desktop\dnlp\tiser_temporal_reasoning_extension\tiser_temporal_reasoning_extension\model\tiser_tennis_full600_smoke\adapter,20,0.45,0.49444444444444446,0,0.0,0.07053571428571431,0.022779621755461776,C:\Users\aless\OneDrive\Desktop\dnlp\tiser_temporal_reasoning_extension\tiser_temporal_reasoning_extension\results\tennis_domain_adaptation\scored\tennis_only_full600_fulltest\metrics.json
tennis_only_full600_smoke_100,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,tiser,False,C:\Users\aless\OneDrive\Desktop\dnlp\tiser_temporal_reasoning_extension\tiser_temporal_reasoning_extension\model\tiser_tennis_full600_smoke\adapter,100,0.47,0.5157844377844377,0,0.0,0.09053571428571427,0.044119615095455034,C:\Users\aless\OneDrive\Desktop\dnlp\tiser_temporal_reasoning_extension\tiser_temporal_reasoning_extension\results\tennis_domain_adaptation\scored\tennis_only_full600_smoke_100\metrics.json
tennis_only_full600_test224,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,tiser,False,C:\Users\aless\OneDrive\Desktop\dnlp\tiser_temporal_reasoning_extension\tiser_temporal_reasoning_extension\model\tiser_tennis_full600_smoke\adapter,224,0.4642857142857143,0.5164143767938412,0,0.0,0.0848214285714286,0.04474955410485848,C:\Users\aless\OneDrive\Desktop\dnlp\tiser_temporal_reasoning_extension\tiser_temporal_reasoning_extension\results\tennis_domain_adaptation\scored\tennis_only_full600_test224\metrics.json
tennis_only_trace50_smoke_100,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,tiser,False,C:\Users\aless\OneDrive\Desktop\dnlp\tiser_temporal_reasoning_extension\tiser_temporal_reasoning_extension\model\tiser_tennis_smoke\adapter,100,0.33,0.3766949716949717,1,0.01,-0.04946428571428568,-0.09496985099401101,C:\Users\aless\OneDrive\Desktop\dnlp\tiser_temporal_reasoning_extension\tiser_temporal_reasoning_extension\results\tennis_domain_adaptation\scored\tennis_only_trace50_smoke_100\metrics.json
