condition,status,model_name,prompt_style,no_adapter,adapter_dir,n,em,f1,malformed_count,malformed_rate,delta_em_vs_baseline,delta_f1_vs_baseline,metrics_path
base_qwen_standard_fulltest,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,standard,True,,20,0.4,0.44935897435897443,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/base_qwen_standard_fulltest/metrics.json
base_qwen_standard_smoke_10,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,standard,True,,10,0.6,0.6820512820512821,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/base_qwen_standard_smoke_10/metrics.json
base_qwen_standard_smoke_100,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,standard,True,,100,0.38,0.4504051504051504,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/base_qwen_standard_smoke_100/metrics.json
base_qwen_standard_test224,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,standard,True,,224,0.3794642857142857,0.4716648226889827,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/base_qwen_standard_test224/metrics.json
base_qwen_tiser_fulltest,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,tiser,True,,20,0.5,0.5785256410256411,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/base_qwen_tiser_fulltest/metrics.json
base_qwen_tiser_smoke_10,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,tiser,True,,10,0.6,0.7416666666666667,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/base_qwen_tiser_smoke_10/metrics.json
base_qwen_tiser_smoke_100,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,tiser,True,,100,0.38,0.40140540831717303,4,0.04,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/base_qwen_tiser_smoke_100/metrics.json
base_qwen_tiser_test224,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,tiser,True,,224,0.375,0.4199800112352635,5,0.022321428571428572,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/base_qwen_tiser_test224/metrics.json
tennis_only_full600_fulltest,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,tiser,False,C:\Users\aless\OneDrive\Desktop\dnlp\tiser_temporal_reasoning_extension\tiser_temporal_reasoning_extension\model\tiser_tennis_full600_smoke\adapter,20,0.45,0.49444444444444446,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_only_full600_fulltest/metrics.json
tennis_only_full600_smoke_100,AVAILABLE,Qwen/Qwen2.5-0.5B-Instruct,tiser,False,C:\Users\aless\OneDrive\Desktop\dnlp\tiser_temporal_reasoning_extension\tiser_temporal_reasoning_extension\model\tiser_tennis_full600_smoke\adapter,100,0.47,0.5157844377844377,0,0.0,,,/content/drive/Othercomputers/My Mac/Desktop/Folders/Documents n Stuff/Polito/DNLP/Project/tiser_temporal_reasoning_extension/results/tennis_domain_adaptation/scored/tennis_only_full600_smoke_100/metrics.json
